Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2540,All Houses,580.56,-0.56,-1.4%,2.0%,7.2%,11.4%,5.4%,4.8%,3 br Houses,549.96,0.04,0.1%,4.8%,4.6%,12.4%,5.1%,4.1%,All Units,562.03,17.97,14.1%,10.0%,-0.3%,17.7%,6.4%,8.4%,2 br Units,495.29,-15.29,6.6%,14.6%,8.0%,13.9%,5.6%,6.6%,Combined,577.33,2.67,0.9%,3.2%,5.8%,12.3%,5.6%,5.3%,2540
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2600,All Houses,872.92,-7.92,-0.4%,-3.4%,-19.7%,-3.0%,2.1%,2.0%,3 br Houses,827.67,-32.67,-1.8%,-9.7%,-3.8%,11.2%,1.9%,3.6%,All Units,667.11,5.89,-4.7%,4.7%,-1.1%,5.2%,1.3%,3.3%,2 br Units,732.61,-2.61,-5.1%,5.0%,-2.3%,4.3%,2.9%,2.7%,Combined,753.32,0.10,-2.7%,0.6%,-11.2%,1.0%,1.7%,2.7%,2600
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2601,All Houses,999.99,-149.99,11.1%,15.9%,-13.3%,2.5%,7.0%,5.8%,3 br Houses,"1,300.00",0.00,0.0%,0.0%,12.0%,12.1%,5.5%,2.8%,All Units,648.86,11.14,-6.9%,-2.6%,0.0%,0.6%,1.3%,3.6%,2 br Units,750.67,-0.67,-1.3%,-3.8%,0.2%,2.1%,1.7%,1.7%,Combined,695.37,-10.21,-3.9%,0.4%,-2.9%,0.8%,2.2%,4.0%,2601
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2602,All Houses,727.34,7.66,3.1%,5.6%,6.1%,2.4%,3.7%,4.1%,3 br Houses,698.77,1.23,-0.9%,2.2%,2.1%,1.8%,3.5%,3.9%,All Units,570.91,7.09,-0.8%,4.5%,-2.8%,4.7%,4.8%,4.3%,2 br Units,616.36,3.64,0.8%,0.6%,1.6%,4.8%,5.4%,5.0%,Combined,650.34,7.38,1.4%,5.1%,2.0%,3.4%,4.2%,4.2%,2602
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2603,All Houses,"1,078.05",129.95,21.8%,20.0%,-0.6%,13.9%,4.7%,4.9%,3 br Houses,846.37,3.63,0.5%,5.8%,4.9%,7.4%,6.0%,4.6%,All Units,665.11,-5.11,3.6%,12.7%,13.9%,7.5%,4.8%,4.2%,2 br Units,681.40,-11.40,0.6%,10.2%,12.7%,6.3%,4.2%,4.4%,Combined,816.86,44.52,11.7%,16.1%,6.2%,10.3%,4.7%,4.5%,2603
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2604,All Houses,789.88,-9.88,0.2%,4.4%,0.2%,7.2%,2.4%,4.5%,3 br Houses,713.05,-28.05,-5.8%,-7.1%,1.2%,5.2%,-0.8%,4.2%,All Units,677.71,2.29,4.5%,8.9%,4.7%,6.2%,1.9%,4.1%,2 br Units,680.29,-0.29,0.1%,7.5%,4.6%,5.9%,1.7%,4.8%,Combined,703.60,-0.52,3.4%,7.7%,3.5%,6.4%,2.0%,4.2%,2604
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2605,All Houses,798.33,1.67,4.7%,5.5%,-5.4%,-1.0%,3.1%,3.8%,3 br Houses,676.48,23.52,0.4%,-3.7%,-8.1%,-0.4%,3.4%,2.9%,All Units,648.05,1.95,-1.2%,-0.5%,3.6%,14.9%,10.0%,6.1%,2 br Units,570.16,34.84,-2.1%,3.3%,-0.9%,5.9%,7.7%,4.9%,Combined,741.79,1.78,2.7%,3.4%,-2.5%,3.3%,5.0%,4.5%,2605
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2606,All Houses,794.35,0.65,6.0%,11.0%,6.0%,1.2%,5.3%,5.8%,3 br Houses,712.46,-2.46,6.9%,4.6%,11.3%,5.1%,4.7%,4.9%,All Units,597.39,2.61,-0.1%,2.9%,9.3%,8.7%,6.9%,4.8%,2 br Units,625.53,4.47,2.8%,2.6%,-1.1%,6.0%,7.8%,5.5%,Combined,674.89,1.84,2.6%,6.5%,7.4%,4.6%,6.0%,5.2%,2606
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2607,All Houses,705.09,4.91,0.5%,-5.1%,-9.6%,3.4%,3.8%,3.5%,3 br Houses,646.39,3.61,-3.9%,-0.8%,-1.9%,3.4%,2.8%,3.1%,All Units,541.33,-6.33,2.3%,-18.0%,-8.1%,5.3%,5.6%,3.5%,2 br Units,501.56,-6.56,1.1%,-3.5%,0.1%,4.0%,4.8%,3.1%,Combined,645.00,0.79,1.1%,-9.5%,-9.0%,4.2%,4.5%,3.5%,2607
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2609,All Houses,556.56,8.44,35.7%,35.7%,35.7%,10.7%,6.9%,2.4%,3 br Houses,393.00,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,-1.1%,All Units,480.19,2.81,2.0%,-2.4%,1.1%,10.6%,4.2%,6.7%,2 br Units,492.00,0.00,0.0%,0.0%,3.6%,3.0%,4.6%,3.2%,Combined,517.65,5.57,17.3%,14.3%,16.5%,10.3%,5.6%,3.8%,2609
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2611,All Houses,797.44,-0.44,-0.7%,2.3%,11.6%,3.6%,6.1%,5.6%,3 br Houses,648.11,1.89,1.3%,-3.0%,-2.8%,2.0%,3.9%,3.8%,All Units,599.61,-4.61,-5.4%,2.1%,3.8%,2.7%,4.9%,4.6%,2 br Units,567.33,-2.33,-2.6%,-1.3%,0.3%,4.0%,4.0%,4.4%,Combined,724.43,-1.98,-2.2%,2.0%,8.4%,2.9%,5.5%,5.2%,2611
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2612,All Houses,846.73,3.27,-11.6%,3.4%,8.8%,1.4%,1.9%,3.1%,3 br Houses,710.61,-10.61,-15.4%,-11.7%,-5.2%,-2.1%,1.1%,2.4%,All Units,590.10,9.90,1.5%,0.2%,-0.2%,2.0%,3.3%,3.0%,2 br Units,675.59,-15.59,-2.3%,3.1%,3.1%,1.6%,3.7%,3.5%,Combined,647.80,8.41,-2.8%,1.1%,2.2%,1.7%,2.8%,3.0%,2612
