Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2540,All Houses,"1,010.194",1.356,0.5%,1.9%,3.6%,14.7%,7.9%,8.7%,3 br Houses,894.448,0.552,-0.9%,-5.6%,1.3%,11.6%,7.7%,8.5%,All Units,673.520,-5.220,-2.9%,0.9%,16.7%,20.8%,10.1%,9.1%,2 br Units,484.284,-9.284,-25.9%,1.4%,-8.6%,6.0%,8.0%,5.9%,Combined,975.769,0.687,0.3%,1.8%,4.4%,15.1%,8.0%,8.7%,2540
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2600,All Houses,"2,369.272",130.728,0.5%,22.6%,13.7%,10.3%,13.3%,9.1%,3 br Houses,"1,717.350",-17.350,-2.0%,-11.3%,-2.8%,8.5%,8.6%,7.1%,All Units,677.334,-5.334,-12.5%,-5.3%,2.8%,1.6%,4.1%,1.7%,2 br Units,873.330,-3.330,-2.6%,-2.8%,20.7%,6.3%,5.0%,3.5%,Combined,"1,630.843",70.172,-2.2%,16.1%,10.9%,8.4%,11.1%,7.3%,2600
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2601,All Houses,921.456,-0.056,-0.1%,-3.0%,-3.0%,-6.6%,2.1%,0.1%,3 br Houses,"1,111.584",0.316,0.4%,17.0%,17.0%,-8.5%,3.1%,-2.0%,All Units,569.879,-0.879,-6.8%,-10.1%,2.8%,4.7%,0.0%,0.2%,2 br Units,719.763,0.237,-1.6%,-2.2%,6.2%,3.9%,1.8%,1.8%,Combined,642.413,-0.971,-5.0%,-8.2%,0.5%,0.1%,0.5%,0.1%,2601
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2602,All Houses,"1,186.873",13.127,3.2%,15.0%,8.1%,20.3%,7.4%,6.2%,3 br Houses,"1,153.457",9.043,1.1%,3.4%,4.1%,17.7%,6.9%,6.0%,All Units,627.126,9.824,6.0%,3.7%,14.6%,13.4%,8.1%,5.4%,2 br Units,664.529,0.471,1.1%,7.3%,11.9%,7.5%,8.8%,5.6%,Combined,948.705,11.429,3.9%,11.5%,9.6%,18.1%,7.5%,6.0%,2602
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2603,All Houses,"1,837.299",-37.299,-5.6%,6.0%,4.1%,9.8%,5.1%,3.8%,3 br Houses,"1,539.355",50.095,4.4%,-11.9%,-10.7%,2.8%,10.3%,1.2%,All Units,690.917,8.083,2.4%,4.8%,5.2%,7.2%,6.5%,4.3%,2 br Units,703.372,6.128,2.0%,0.1%,0.7%,-1.5%,6.5%,4.1%,Combined,"1,279.490",-16.543,-3.7%,5.5%,4.0%,8.8%,5.3%,3.8%,2603
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2604,All Houses,"1,400.348",-77.848,19.1%,2.8%,0.5%,14.5%,11.9%,9.1%,3 br Houses,"1,218.141",-68.141,17.1%,-4.9%,-8.8%,5.8%,1.9%,7.3%,All Units,694.015,2.985,1.7%,6.2%,5.4%,3.8%,5.4%,3.3%,2 br Units,733.142,1.858,1.8%,8.1%,11.9%,5.1%,4.5%,3.8%,Combined,906.430,-22.095,9.0%,4.3%,2.2%,8.1%,8.0%,5.6%,2604
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2605,All Houses,"1,578.919",-29.419,-5.6%,-5.3%,15.7%,7.3%,8.0%,7.1%,3 br Houses,"1,270.795",-8.295,-2.8%,18.6%,7.0%,1.7%,8.3%,7.0%,All Units,555.054,9.946,17.3%,45.2%,46.7%,21.8%,3.1%,2.3%,2 br Units,535.585,6.915,7.3%,31.6%,36.1%,1.2%,1.6%,2.1%,Combined,"1,258.657",-17.104,-3.0%,-0.6%,19.2%,9.3%,7.3%,6.3%,2605
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2606,All Houses,"1,293.920",-31.920,-2.5%,-2.9%,15.0%,36.6%,10.9%,10.0%,3 br Houses,"1,347.960",-12.960,0.0%,7.0%,-3.0%,26.3%,10.9%,10.3%,All Units,569.312,0.688,0.5%,-2.4%,3.0%,11.1%,7.2%,4.2%,2 br Units,609.219,0.731,1.3%,0.9%,-1.5%,9.0%,7.4%,4.5%,Combined,897.772,-15.175,-1.6%,-2.9%,10.0%,25.1%,9.3%,7.5%,2606
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2607,All Houses,"1,239.677",22.823,-3.5%,-6.6%,7.2%,8.0%,6.7%,7.8%,3 br Houses,972.602,2.398,-2.7%,-9.3%,1.1%,1.4%,4.3%,6.0%,All Units,480.872,-11.872,-20.3%,-28.6%,-30.0%,1.6%,6.0%,2.3%,2 br Units,459.110,-0.110,-0.4%,8.5%,-33.0%,17.0%,6.2%,3.0%,Combined,982.277,10.971,-6.8%,-11.2%,-1.5%,6.8%,6.5%,6.6%,2607
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2609,All Houses,497.813,2.187,7.1%,42.9%,60.6%,22.6%,14.0%,18.5%,3 br Houses,497.627,-0.127,-0.4%,2.6%,60.5%,25.4%,12.9%,-13.0%,All Units,347.553,51.447,7.0%,76.7%,76.7%,20.9%,22.3%,15.1%,2 br Units,347.605,51.395,6.7%,65.5%,65.5%,18.3%,22.2%,15.1%,Combined,455.628,15.741,7.0%,48.1%,61.6%,21.8%,15.1%,17.7%,2609
